location,dog
Texas,7163
California,6687
Florida,4210
New York,3054
Ohio,2730
North Carolina,2518
Pennsylvania,2485
Georgia,2479
Illinois,2365
Tennessee,2157
Michigan,2036
Missouri,1978
Arizona,1798
Virginia,1699
Indiana,1619
Washington,1609
Kentucky,1531
Alabama,1410
Colorado,1349
New Jersey,1340
Oklahoma,1327
South Carolina,1191
Wisconsin,1138
Louisiana,1115
Arkansas,1097
Minnesota,934
Oregon,917
Maryland,915
Massachusetts,850
Mississippi,846
Kansas,774
New Mexico,703
West Virginia,648
Iowa,610
Nevada,578
Connecticut,507
Utah,410
Nebraska,374
Idaho,357
Maine,300
Montana,282
South Dakota,220
New Hampshire,212
Delaware,163
Rhode Island,161
Vermont,142
North Dakota,139
Wyoming,125
District of Columbia,42
