location,cat
California,7118
Texas,5565
Florida,4375
New York,4261
Ohio,3786
Pennsylvania,3544
Illinois,2453
Michigan,2420
North Carolina,2220
Georgia,2162
Indiana,1912
Virginia,1855
Washington,1844
Tennessee,1749
Maryland,1677
Missouri,1653
Massachusetts,1593
Wisconsin,1510
New Jersey,1468
Arizona,1438
Kentucky,1349
Minnesota,1264
Alabama,1252
Colorado,1191
Oregon,1185
Oklahoma,1041
South Carolina,1039
Louisiana,877
Arkansas,810
Iowa,805
Connecticut,796
Kansas,731
Mississippi,668
West Virginia,628
Nevada,625
New Mexico,533
Nebraska,514
Maine,498
Utah,455
Idaho,393
New Hampshire,309
South Dakota,290
Montana,277
Vermont,234
Rhode Island,212
Delaware,187
North Dakota,174
Wyoming,144
District of Columbia,63
